Dept,Month,Monthly_2010,Monthly_2011,Monthly_2012,Quarter,Store
1,1,0.0,69146.59,70205.34999999999,1,1
1,2,131963.08,125762.62999999999,134683.3,1,1
1,3,91237.14,82823.34,114680.54,1,1
1,4,150516.76,165056.95,125600.12000000001,2,1
1,5,66694.15,68251.72,70792.98,2,1
1,6,66740.7,62978.57,83646.54000000001,2,1
1,7,81915.00999999998,78856.23,66468.79000000001,3,1
1,8,64578.81,59061.950000000004,83045.57,3,1
1,9,71913.27,87756.41,76137.9,3,1
1,10,134644.53,98806.83000000002,96244.56,4,1
2,1,0.0,166307.69,173144.13,1,1
2,2,187509.77,189791.78,198068.88999999998,1,1
2,3,177657.96000000002,191017.1,239844.23,1,1
2,4,229414.65999999997,230185.08,186815.14,2,1
2,5,180517.28999999998,183788.28999999998,187447.36000000002,2,1
2,6,185572.64,179563.63999999998,237206.49,2,1
2,7,228766.13999999998,221436.50999999998,184300.31,3,1
2,8,194885.12000000002,188752.72,238472.96,3,1
2,9,181356.68,225135.59,181163.94,3,1
2,10,221780.16000000003,177357.13999999998,176179.35,4,1
3,1,0.0,53600.3,50063.78,1,1
3,2,47286.6,44639.53,45614.810000000005,1,1
3,3,41767.25,38926.8,49198.2,1,1
3,4,48769.54000000001,44486.83,34545.950000000004,2,1
3,5,33519.26,35213.09,37953.22,2,1
3,6,30536.440000000002,30187.079999999998,38685.67,2,1
3,7,67568.42,64416.259999999995,64443.509999999995,3,1
3,8,149620.65999999997,154776.54,184909.03999999998,3,1
3,9,50036.869999999995,62986.02,59146.31,3,1
3,10,47490.2,39406.16,40063.920000000006,4,1
4,1,0.0,138983.21,144902.22999999998,1,1
4,2,146792.36,143400.25,151084.27,1,1
4,3,138745.04,142849.23,189825.1,1,1
4,4,175968.62,174094.47999999998,152754.04,2,1
4,5,142777.87,142227.63,150544.24,2,1
4,6,146642.36,148469.27,198869.63999999998,2,1
4,7,187834.21,179718.02,156288.51,3,1
4,8,153546.24000000002,153433.09999999998,194232.75999999998,3,1
4,9,141422.1,171289.03,143748.0,3,1
4,10,173483.24,140599.74,146599.9,4,1
5,1,0.0,80701.83,83062.26,1,1
5,2,112420.35,122911.2,143421.31,1,1
5,3,106185.52,94011.65,133314.68,1,1
5,4,106825.03,108000.9,80660.54,2,1
5,5,68093.87,63972.55,72812.09999999999,2,1
5,6,83582.64,75054.29000000001,107934.01000000001,2,1
5,7,90841.40999999999,92412.32,69775.95,3,1
5,8,61453.55,76626.12,92350.37999999999,3,1
5,9,66069.07,95842.65999999999,85964.84,3,1
5,10,99581.31,112362.07999999999,92689.61,4,1
6,1,0.0,9096.53,10203.03,1,1
6,2,26188.850000000002,16105.060000000001,19327.420000000002,1,1
6,3,22214.629999999997,15209.18,21950.64,1,1
6,4,22263.53,17680.739999999998,15572.829999999998,2,1
6,5,24021.21,21589.16,19395.08,2,1
6,6,17708.3,13126.359999999999,21870.600000000002,2,1
6,7,23991.850000000002,17119.77,11647.18,3,1
6,8,16042.029999999999,13002.6,11611.8,3,1
6,9,17080.71,21623.239999999998,12978.14,3,1
6,10,21784.13,20321.71,15161.07,4,1
7,1,0.0,54904.950000000004,42990.130000000005,1,1
7,2,76603.81,86769.83,70982.24999999999,1,1
7,3,80154.63999999998,82621.73,88976.75,1,1
7,4,103532.39999999998,109258.43999999999,86235.16,2,1
7,5,104867.42,86262.65,93845.72,2,1
7,6,127370.57,132250.59000000003,136725.21,2,1
7,7,105761.44999999998,91307.53,79491.57999999999,3,1
7,8,75152.08,57006.53999999999,80687.72,3,1
7,9,74454.54,71629.2,77352.92,3,1
7,10,82123.65,78150.39,85671.4,4,1
8,1,0.0,140485.91,140831.26,1,1
8,2,151499.64,145496.51,152836.81,1,1
