Dept,Q_2010,Q_2011,Q_2012,Quarter,Store
1,223200.22,277732.55999999994,319569.19,1,1
1,283951.61,296287.24000000005,280039.64,2,1
1,218407.08999999997,225674.59,225652.25999999998,3,1
1,400789.81,371856.41000000003,96244.56,4,1
2,365167.73,547116.57,611057.2500000001,1,1
2,595504.5900000001,593537.01,611468.99,2,1
2,605007.94,635324.82,603937.21,3,1
2,634854.58,613442.8899999999,176179.35,4,1
3,89053.85,137166.63,144876.78999999998,1,1
3,112825.24000000002,109887.0,111184.84,2,1
3,267225.95,282178.82,308498.86,3,1
3,140781.08000000002,136775.38,40063.920000000006,4,1
4,285537.39999999997,425232.68999999994,485811.60000000003,1,1
4,465388.85000000003,464791.38,502167.92000000004,2,1
4,482802.55,504440.15,494269.2700000001,3,1
4,527188.0,501644.38,146599.9,4,1
5,218605.87,297624.67999999993,359798.25000000006,1,1
5,258501.54000000004,247027.74000000002,261406.65,2,1
5,218364.02999999997,264881.10000000003,248091.16999999998,3,1
5,505594.94,496300.0,92689.61,4,1
6,48403.48000000001,40410.770000000004,51481.09000000001,1,1
6,63993.04000000001,52396.259999999995,56838.509999999995,2,1
6,57114.590000000004,51745.61,36237.12,3,1
6,113991.70000000001,98881.31999999999,15161.07,4,1
7,156758.44999999998,224296.50999999998,202949.13,1,1
7,335770.38999999996,327771.68000000005,316806.0900000001,2,1
7,255368.07,219943.26999999996,237532.21999999997,3,1
7,620861.3300000001,529279.16,85671.4,4,1
8,292388.61,422627.94,478174.51000000007,1,1
8,446653.45999999996,452555.09999999986,505632.48000000004,2,1
8,435517.72,472451.85,487291.54000000004,3,1
8,496507.23999999993,460074.06999999995,157836.32,4,1
9,175486.09,261053.14,335081.73,1,1
9,352170.04,339753.88,396827.24999999994,2,1
9,320145.67000000004,357007.6,384821.73,3,1
9,480260.10000000003,454968.8300000001,155297.41,4,1
10,246418.4,378572.74,436455.0799999999,1,1
10,398958.23999999993,403659.05999999994,431276.68000000005,2,1
10,410866.29,425559.82,402094.60000000003,3,1
10,399432.05,393127.4600000001,111353.83,4,1
11,156264.52000000002,265838.39,305989.73,1,1
11,346520.62,370032.62,371160.35000000003,2,1
11,323963.98,358976.6400000001,311182.8999999999,3,1
11,329333.68,339301.35,84890.92000000001,4,1
12,82693.25,119403.20000000001,132697.06,1,1
12,148392.65999999997,157685.61000000002,146381.39,2,1
12,143414.66999999998,145961.38999999998,145058.33,3,1
12,128289.26999999999,122529.35000000002,38509.8,4,1
13,302266.65,449639.81,515768.86000000004,1,1
13,497620.64999999997,483028.07,522640.08999999997,2,1
13,523684.06,537587.4600000001,530876.1900000001,3,1
13,525897.78,485456.41,158615.88,4,1
14,130377.33,178411.08,204211.61000000002,1,1
14,170957.55,174084.23000000004,193308.20000000004,2,1
14,173586.13999999998,175124.78,169911.88999999998,3,1
14,283829.56,280583.05,49017.36,4,1
16,158146.36,224466.02,288952.82999999996,1,1
16,588642.13,536327.4600000001,550119.92,2,1
16,312728.93000000005,267589.43999999994,279007.66000000003,3,1
16,111840.14000000001,94481.75,41299.13,4,1
17,96228.72,119712.49,119485.48999999999,1,1
17,116862.37,110569.93,103860.46,2,1
17,121668.69999999998,109914.04,103802.26999999999,3,1
17,151762.19999999998,129010.88000000002,32230.230000000003,4,1
18,50154.95,52144.07,67262.99,1,1
18,27239.020000000004,30258.98,19496.670000000006,2,1
18,5116.47,6927.36,8905.58,3,1
18,295605.72,270400.97,43966.619999999995,4,1
19,14149.64,15311.199999999999,12281.49,1,1
19,18701.800000000003,14189.779999999999,14613.850000000002,2,1
19,20608.07,12692.93,13729.42,3,1
19,23315.94,14948.900000000001,5496.63,4,1
20,36805.469999999994,43118.58000000001,62250.97999999998,1,1
20,57628.61,51106.69,58696.49,2,1
20,54897.19999999999,58898.92,53766.65,3,1
20,48199.67999999999,46093.64000000001,13631.82,4,1
21,66197.41,88704.59,103123.97,1,1
21,103216.44,93267.85,96551.29999999999,2,1
21,100492.69000000002,108477.74999999997,91332.65,3,1
21,116585.54,118038.09,30620.15,4,1
