Store,Dept,Year,Quarter,Month,Weekly_Sales,Date
1,1,2010,1,2,131963.08,2010-02-01
1,1,2010,1,3,91237.14,2010-03-01
1,1,2010,2,4,150516.76,2010-04-01
1,1,2010,2,5,66694.15,2010-05-01
1,1,2010,2,6,66740.7,2010-06-01
1,1,2010,3,7,81915.00999999998,2010-07-01
1,1,2010,3,8,64578.81,2010-08-01
1,1,2010,3,9,71913.27,2010-09-01
1,1,2010,4,10,134644.53,2010-010-01
1,1,2010,4,11,92161.4,2010-011-01
1,1,2010,4,12,173983.88,2010-012-01
1,1,2011,1,1,69146.59,2011-01-01
1,1,2011,1,2,125762.62999999999,2011-02-01
1,1,2011,1,3,82823.34,2011-03-01
1,1,2011,2,4,165056.95,2011-04-01
1,1,2011,2,5,68251.72,2011-05-01
1,1,2011,2,6,62978.57,2011-06-01
1,1,2011,3,7,78856.23,2011-07-01
1,1,2011,3,8,59061.950000000004,2011-08-01
1,1,2011,3,9,87756.41,2011-09-01
1,1,2011,4,10,98806.83000000002,2011-010-01
1,1,2011,4,11,98537.51,2011-011-01
1,1,2011,4,12,174512.07,2011-012-01
1,1,2012,1,1,70205.34999999999,2012-01-01
1,1,2012,1,2,134683.3,2012-02-01
1,1,2012,1,3,114680.54,2012-03-01
1,1,2012,2,4,125600.12000000001,2012-04-01
1,1,2012,2,5,70792.98,2012-05-01
1,1,2012,2,6,83646.54000000001,2012-06-01
1,1,2012,3,7,66468.79000000001,2012-07-01
1,1,2012,3,8,83045.57,2012-08-01
1,1,2012,3,9,76137.9,2012-09-01
1,1,2012,4,10,96244.56,2012-010-01
1,2,2010,1,2,187509.77,2010-02-01
1,2,2010,1,3,177657.96000000002,2010-03-01
1,2,2010,2,4,229414.65999999997,2010-04-01
1,2,2010,2,5,180517.28999999998,2010-05-01
1,2,2010,2,6,185572.64,2010-06-01
1,2,2010,3,7,228766.13999999998,2010-07-01
1,2,2010,3,8,194885.12000000002,2010-08-01
1,2,2010,3,9,181356.68,2010-09-01
