Store,Dept,Month,Quarter,Monthly_2010,Monthly_2011,Monthly_2012
1,1,11,4,92161.4,98537.51,83484.82976000002
1,2,11,4,176701.15,180507.46,155313.2886400002
1,3,11,4,38880.909999999996,38570.76,36524.57327999998
1,4,11,4,156268.46,160402.08,127444.01984000002
1,5,11,4,142478.05,169638.24,145065.33752000018
1,6,11,4,32956.67,31021.46,22745.07220000001
1,7,11,4,137105.06,143229.81,117768.85564000013
1,8,11,4,141569.01,137376.4,112112.3703599999
1,9,11,4,158027.59000000003,159507.21000000002,128358.55367999998
1,10,11,4,114989.47,122826.34,104405.69812000006
1,11,11,4,101053.04,100740.09,85996.06764
1,12,11,4,38264.27,37869.909999999996,34193.862360000014
1,13,11,4,154721.26,154866.81000000003,125615.25744
1,14,11,4,85975.15,86115.64,77102.19767999994
1,16,11,4,27935.899999999998,25518.480000000003,21366.372759999995
1,17,11,4,41278.51,36965.259999999995,32147.76624000001
1,18,11,4,69964.93,69007.12,59776.90004000004
1,19,11,4,5965.160000000001,3378.17,3691.2459600000016
1,20,11,4,14950.309999999998,14409.380000000001,11826.856439999996
1,21,11,4,32065.35,35505.66,30808.746040000016
1,22,11,4,38914.76,43193.759999999995,34763.946559999975
1,23,11,4,104221.99999999999,96161.73,76076.40536000006
1,24,11,4,32342.62,27926.809999999998,23527.736479999974
1,25,11,4,41539.490000000005,42263.43,34598.381559999994
1,26,11,4,37686.2,31280.33,26061.599960000007
1,27,11,4,7112.700000000001,7586.169999999999,6934.934760000008
1,28,11,4,3754.12,2929.1899999999996,3893.5266799999968
1,29,11,4,21956.12,19531.55,16341.721359999992
1,30,11,4,11397.52,10438.3,9141.842960000005
1,31,11,4,9398.8,6387.85,6746.888760000002
1,32,11,4,31296.89,28366.54,22854.062320000005
1,33,11,4,31051.14,26973.0,22806.760680000003
1,34,11,4,51240.65,47836.399999999994,42733.49692
1,35,11,4,10903.0,11188.13,9992.454
1,36,11,4,6604.0,5931.460000000001,5307.105280000006
1,37,11,4,10730.98,11296.16,9903.156120000003
1,38,11,4,289038.48,329967.83999999997,281664.11476000055
1,40,11,4,236427.5,229425.86,188434.0362000001
1,41,11,4,6389.27,6311.57,6868.129760000001
1,42,11,4,30667.269999999997,31645.379999999997,24534.053200000006
1,44,11,4,21974.12,24494.729999999996,21195.069879999992
1,45,11,4,171.04999999999998,79.79,30.23984000000001
1,46,11,4,70859.41,74120.28,60763.76264000001
1,48,11,4,4647.0,7617.0,7496.505279999992
1,49,11,4,43492.58,39063.28,33396.37936000001
1,52,11,4,11566.83,9318.109999999999,9781.77404
1,54,11,4,287.44,193.2,109.29875999999977
1,55,11,4,77345.45,83618.37999999999,74078.49592
1,56,11,4,4415.21,4838.89,4878.400600000002
1,58,11,4,12850.0,10560.0,9811.477040000005
1,59,11,4,4916.55,3126.97,3578.2568799999995
1,60,11,4,4019.8,4180.0,4576.870160000001
1,67,11,4,24032.030000000002,24295.25,20853.600320000012
1,71,11,4,11392.26,12467.68,11343.662440000002
1,72,11,4,312622.07,352402.27,296957.24019999994
1,74,11,4,49282.33,48555.49,42505.21684000001
1,79,11,4,126340.93000000001,139025.36,115713.13083999994
1,80,11,4,63489.600000000006,74071.63,62074.811840000024
1,81,11,4,118607.41,119170.29999999999,99806.81651999998
1,82,11,4,89059.22,81035.15000000001,72616.45360000004
1,83,11,4,16046.09,17776.78,14310.171920000015
1,85,11,4,15381.880000000001,12527.589999999998,11216.15776
1,87,11,4,168131.67,198541.83000000002,171577.24483999997
1,90,11,4,329987.85,387776.51,336909.9269999996
1,91,11,4,245134.06000000003,255500.13999999998,216348.83924
1,92,11,4,613940.05,674944.6900000001,624533.0078799997
1,93,11,4,307892.11000000004,337289.34,286243.94268000056
1,94,11,4,222940.23,244368.36000000002,204680.35708000013
1,95,11,4,434101.66000000003,456496.39,436461.9615999999
1,96,11,4,114908.76999999999,143088.63,124397.89119999988
1,97,11,4,135435.26,139412.12,111872.35691999983
1,98,11,4,54270.979999999996,58550.44,54628.66947999998
1,99,11,4,0.0,2400.0,4320.444560000002
2,1,11,4,117870.28,128346.53,103674.18704000009
2,2,11,4,258619.90999999997,253198.11000000002,214462.2682400005
2,3,11,4,50375.84,46351.86,39022.05536000001
2,4,11,4,206361.52,198488.5,158210.83332000024
