Store,Dept,Quarter,Q_2010,Q_2011,Q_2012
1,1,4,400789.81,371856.41000000003,102305.25104000006
1,2,4,634854.58,613442.8899999999,173013.66608000055
1,3,4,140781.08000000002,136775.38,37612.808159999964
1,4,4,527188.0,501644.38,142097.5620799997
1,5,4,505594.94,496300.0,113129.01484000009
1,6,4,113991.70000000001,98881.31999999999,17946.759439999976
1,7,4,620861.3300000001,529279.16,94276.91392
1,8,4,496507.23999999993,460074.06999999995,141382.56675999996
1,9,4,480260.10000000003,454968.8300000001,128607.09675999999
1,10,4,399432.05,393127.4600000001,93734.54243999993
1,11,4,329333.68,339301.35,93764.17068
1,12,4,128289.26999999999,122529.35000000002,33199.55768000001
1,13,4,525897.78,485456.41,151010.20475999994
1,14,4,283829.56,280583.05,52314.417439999954
1,16,4,111840.14000000001,94481.75,28333.38159999999
1,17,4,151762.19999999998,129010.88000000002,32433.529200000026
1,18,4,295605.72,270400.97,46482.239119999904
1,19,4,23315.94,14948.900000000001,4897.131959999995
1,20,4,48199.67999999999,46093.64000000001,14127.597439999967
1,21,4,116585.54,118038.09,31343.741119999977
1,22,4,141274.38,128232.99999999999,32068.920640000004
1,23,4,376047.01,339245.42,79794.08892000002
1,24,4,113278.20999999999,95406.64,26310.035840000026
1,25,4,148952.81999999998,138626.05,32428.79772000001
1,26,4,123782.24999999999,105908.36999999998,27705.047520000022
1,27,4,27753.49,29917.880000000005,6732.789159999996
1,28,4,12133.27,9172.7,2553.9518400000006
1,29,4,84362.59999999999,75686.27,17480.648439999983
1,30,4,42360.32,33726.060000000005,9691.439479999966
1,31,4,38401.55,27791.830000000005,6982.996399999998
1,32,4,159426.98,142408.85,27306.436319999953
1,33,4,103782.1,92443.50999999998,25212.363599999986
1,34,4,160586.45,152764.72,42145.87655999999
1,35,4,38339.5,34813.91,10354.56119999999
1,36,4,20081.0,24245.359999999997,4894.51216
1,37,4,37672.67,34303.25,10004.752759999976
1,38,4,1053399.6099999999,1012607.07,292821.96883999946
1,40,4,832999.7000000001,758711.7000000002,233371.82184000086
1,41,4,24334.769999999997,24679.840000000004,5863.876120000003
1,42,4,103884.21999999999,95787.92,28623.84988000011
1,44,4,78952.1,87933.95999999999,24974.558039999953
1,45,4,352.57,197.49,85.79547999999996
1,46,4,308203.02999999997,293196.25,71278.82256000006
1,48,4,15902.0,27391.0,7262.999879999996
1,49,4,142633.71999999997,133285.58,39159.898960000064
1,52,4,42932.82,33342.46,9290.671879999978
1,54,4,1348.5600000000002,780.2,175.60684000000006
1,55,4,271893.74,259916.15,45262.03939999992
1,56,4,20076.09,17483.28,6073.641720000018
1,58,4,40507.0,44850.97,17056.50372
1,59,4,48249.51000000001,22599.429999999997,2810.409919999991
1,60,4,16118.8,14784.0,4198.391960000001
1,67,4,100960.01,94434.84000000001,26719.792040000033
1,71,4,36741.88,40575.91,10448.035359999993
1,72,4,818989.3200000002,872038.4899999999,181920.89859999978
1,74,4,160027.05000000002,144387.43999999997,34962.77424
1,79,4,434681.2899999999,443712.69,127766.1548800005
1,80,4,224298.61000000002,241768.63,75290.17035999977
1,81,4,401060.5,375358.43999999994,118177.12047999985
1,82,4,379373.19,332922.39,82398.46767999993
1,83,4,67628.06,62170.97,20567.145599999978
1,85,4,65765.56,54271.00000000001,12323.347759999957
1,87,4,602598.87,638437.69,195320.4858000005
1,90,4,1110429.8,1211638.9500000002,359953.78783999936
1,91,4,838977.12,820991.69,259924.34844000047
1,92,4,1946318.4700000002,2018072.94,593510.1051200009
1,93,4,973404.6100000001,1007987.3600000001,309361.34332
1,94,4,773217.52,769954.8799999999,237479.14240000045
1,95,4,1551344.2500000002,1501179.8199999998,464065.74663999974
1,96,4,401083.07,442099.64,139209.65779999972
1,97,4,480763.04000000004,456581.0199999999,144955.45743999974
1,98,4,180411.47,184831.09000000003,61106.17396000011
1,99,4,0.0,6405.0,1010.49248
2,1,4,559634.58,506113.47000000003,140713.83352000042
2,2,4,929773.8799999999,851813.4099999999,246480.12764000046
