Dept,Q_2010,Q_2011,Q_2012,Quarter,Store,Q_2013
1,223200.22,277732.55999999994,319569.19,1,1,363160.01615999994
1,283951.61,296287.24000000005,280039.64,2,1,282034.28664000006
1,218407.09,225674.59,225652.26,3,1,227385.2848799996
1,400789.81,371856.41,96244.56,4,1,17739.276044112878
2,365167.73,547116.57,611057.2500000001,1,1,673396.9079600002
2,595504.5900000001,593537.01,611468.99,2,1,653989.3486799994
2,605007.94,635324.82,603937.21,3,1,591303.5910399989
2,634854.58,613442.8899999999,176179.35,4,1,38204.64421333563
3,89053.85,137166.63,144876.78999999998,1,1,163773.5085999999
3,112825.24000000002,109887.0,111184.84,2,1,117019.92195999993
3,267225.95,282178.82,308498.86,3,1,294488.5149599998
3,140781.08000000002,136775.38,40063.92000000001,4,1,5809.636082386668
4,285537.4,425232.69,485811.6,1,1,526444.9156800002
4,465388.85,464791.38,502167.92,2,1,519841.93491999863
4,482802.55,504440.15,494269.2700000001,3,1,473619.40927999915
4,527188.0,501644.38,146599.9,4,1,38464.73614317828
5,218605.87,297624.67999999993,359798.25000000006,1,1,391848.4242800005
5,258501.54000000004,247027.74,261406.65,2,1,267574.1742800002
5,218364.03,264881.10000000003,248091.17,3,1,241141.85999999996
5,505594.94,496300.0,92689.61,4,1,16926.934501493437
6,48403.48000000001,40410.77,51481.09000000001,1,1,56065.881599999906
6,63993.04000000001,52396.26,56838.51,2,1,50716.78499999994
6,57114.59,51745.61,36237.12,3,1,36323.85239999998
6,113991.7,98881.32,15161.07,4,1,2678.700250718472
7,156758.44999999998,224296.51,202949.13,1,1,226424.38624000025
7,335770.39,327771.68000000005,316806.09000000014,2,1,315616.37776000006
7,255368.07,219943.27,237532.22,3,1,234992.37200000024
7,620861.3300000001,529279.16,85671.4,4,1,13973.06035970664
8,292388.61,422627.94,478174.51000000007,1,1,532510.6311200008
8,446653.46,452555.0999999999,505632.48,2,1,544923.2713599991
8,435517.72,472451.85,487291.54,3,1,472539.46575999947
8,496507.23999999993,460074.07,157836.32,4,1,37754.84952710018
9,175486.09,261053.14,335081.73,1,1,386338.79915999953
9,352170.04,339753.88,396827.25,2,1,421584.35332000005
9,320145.67000000004,357007.6,384821.73,3,1,361687.5524000001
9,480260.1,454968.8300000001,155297.41,4,1,38110.74416063352
10,246418.4,378572.74,436455.0799999999,1,1,471139.68144000025
10,398958.23999999993,403659.06,431276.68000000005,2,1,462995.5292399997
10,410866.29,425559.82,402094.6,3,1,388751.4265199999
10,399432.05,393127.4600000001,111353.83,4,1,21403.552466360852
11,156264.52000000002,265838.39,305989.73,1,1,370325.29876000056
11,346520.62,370032.62,371160.35,2,1,385351.0243599999
11,323963.98,358976.6400000001,311182.8999999999,3,1,292585.57807999966
